DEPTH,VP,RHO,GR,VSH,RHOm,RHOf,PHIE,IP
1379.125,2253.22,1.7154,30.9751,0.268150835219,2.69290413364,1.09,0.609833185356,3865.173588
1379.25,2294.37,1.6954,29.9551,0.252873804235,2.69045980868,1.09,0.621733706328,3889.874898
1379.375,2280.8,1.6682,30.278,0.257710032965,2.69123360527,1.09,0.638903406664,3804.83056
1379.5,2375.57,1.6722,30.1242,0.255406496333,2.69086503941,1.09,0.636321622581,3972.428154
1379.625,2399.94,1.6951,30.1862,0.256335100177,2.69101361603,1.09,0.622051933886,4068.138294
1379.75,2359.04,1.7187,29.5697,0.24710148292,2.68953623727,1.09,0.606948573373,4054.482048
1379.875,2272.33,1.7313,29.2491,0.242299702397,2.68876795238,1.09,0.598878624603,3934.084929
1380.0,2182.89,1.7722,30.2364,0.257086969741,2.69113391516,1.09,0.573926956677,3868.517658
1380.125,2195.79,1.7867,30.4671,0.26054227469,2.69168676395,1.09,0.56502106674,3923.217993
1380.25,2174.46,1.7733,31.0416,0.269146837729,2.69306349404,1.09,0.573753627014,3855.969918
1380.375,2109.91,1.7337,30.6759,0.263669572797,2.69218713165,1.09,0.598236693277,3657.950967
1380.5,2092.64,1.6755,29.9818,0.253273702988,2.69052379248,1.09,0.634182257864,3506.21832
1380.625,2168.44,1.6195,29.1027,0.240106999127,2.68841711986,1.09,0.668734779288,3511.78858
1380.75,2321.19,1.6412,27.5775,0.217263344561,2.68476213513,1.09,0.654368518127,3809.537028
1380.875,2212.36,1.6528,27.5647,0.2170716328,2.68473146125,1.09,0.647087918138,3656.588608
1381.0,2315.24,1.6549,26.0005,0.193643856462,2.68098301703,1.09,0.644936499037,3831.490676
1381.125,2340.1,1.6457,26.9541,0.207926382684,2.68326822123,1.09,0.651220056613,3851.10257
1381.25,2268.31,1.6152,28.9861,0.238360624801,2.68813769997,1.09,0.671367492294,3663.774312
1381.375,2195.06,1.6152,30.0793,0.25473400742,2.69075744119,1.09,0.671905320265,3545.460912
1381.5,2196.68,1.5986,32.1811,0.286213677736,2.69579418844,1.09,0.683271988613,3511.612648
1381.625,2327.8,1.5737,29.645,0.248229287267,2.68971668596,1.09,0.69763395966,3663.25886
1381.75,2326.63,1.561,28.972,0.238149442313,2.68810391077,1.09,0.70527573531,3631.86943
1381.875,2331.91,1.5796,28.8773,0.236731074829,2.68787697197,1.09,0.693593431417,3683.485036
1382.0,2346.75,1.6341,28.967,0.238074554907,2.68809192879,1.09,0.659531476131,3834.824175
1382.125,2260.76,1.6482,29.8834,0.251799918822,2.69028798701,1.09,0.651187783367,3726.184632
1382.25,2301.01,1.6297,30.4089,0.259670585275,2.69154729364,1.09,0.663013385779,3749.955997
1382.375,2360.23,1.6152,29.343,0.243706087897,2.68899297406,1.09,0.671543272223,3812.243496
1382.5,2310.4,1.6237,28.4348,0.230103539329,2.68681656629,1.09,0.66577250558,3751.39648
1382.625,2226.97,1.6503,27.2702,0.212660764541,2.68402572233,1.09,0.648500025971,3675.168591
1382.75,2207.6,1.6495,26.064,0.194594926528,2.68113518824,1.09,0.648364259597,3641.4362
1382.875,2306.96,1.6398,27.4865,0.215900393758,2.684544063,1.09,0.655199242995,3782.953008
1383.0,2377.84,1.6393,29.6748,0.248675616211,2.68978809859,1.09,0.656642026227,3897.993112
1383.125,2385.06,1.6513,29.3944,0.244475930439,2.68911614887,1.09,0.648993601624,3938.449578
1383.25,2425.13,1.6757,28.4277,0.229997199211,2.68679955187,1.09,0.633203804878,4063.790341
1383.375,2453.27,1.715,27.267,0.2126128366,2.68401805386,1.09,0.607909083283,4207.35805
1383.5,2358.31,1.7613,25.7123,0.189327346335,2.68029237541,1.09,0.577876363882,4153.691403
1383.625,2273.54,1.8072,25.8021,0.190672324161,2.68050757187,1.09,0.549074765385,4108.741488
1383.75,2312.3,1.8108,26.5598,0.202020761785,2.68232332189,1.09,0.547328114779,4187.11284
1383.875,2322.7,1.7721,27.61,0.217750112706,2.68484001803,1.09,0.572308198761,4116.05667
1384.0,2301.31,1.725,28.8718,0.236648698682,2.68786379179,1.09,0.602594411825,3969.75975
1384.125,2254.9,1.729,30.7494,0.264770417677,2.69236326683,1.09,0.601214023544,3898.7221
1384.25,2163.95,1.762,34.239,0.31703583662,2.70072573386,1.09,0.582796756845,3812.8799
1384.375,2213.9,1.793,32.5985,0.292465278454,2.69679444455,1.09,0.562482928427,3969.5227
1384.5,2224.82,1.8186,32.25,0.287245626201,2.69595930019,1.09,0.546314779015,4046.057652
1384.625,2252.6,1.8211,29.7007,0.249063532978,2.68985016528,1.09,0.543019705302,4102.20986
1384.75,2296.38,1.7556,27.0273,0.209022734319,2.68344363749,1.09,0.582288331799,4031.524728
