%  'Depth (m)'	   ' t_p'  		' t_s'		'GR'		'rho' 
   2.1433535e+03   1.2388500e+02   2.9603300e+02   8.4817000e+01   2.2770000e+00
   2.1435061e+03   1.2594500e+02   3.0208400e+02   8.7730000e+01   2.2510000e+00
   2.1436584e+03   1.2656300e+02   3.0309800e+02   9.2873000e+01   2.1550000e+00
   2.1438108e+03   1.2504000e+02   3.0142600e+02   9.3679000e+01   2.0260000e+00
   2.1439631e+03   1.2225800e+02   2.9895100e+02   9.3888000e+01   1.9470000e+00
   2.1441157e+03   1.1857200e+02   2.9832400e+02   9.4000000e+01   1.9300000e+00
   2.1442681e+03   1.1593100e+02   3.0113400e+02   9.0426000e+01   1.9240000e+00
   2.1444204e+03   1.1606700e+02   3.1319900e+02   8.5546000e+01   1.9060000e+00
   2.1445728e+03   1.1865100e+02   3.3757800e+02   8.4076000e+01   1.8990000e+00
   2.1447253e+03   1.2327000e+02   3.6728500e+02   8.4078000e+01   1.9150000e+00
   2.1448777e+03   1.2850300e+02   3.8555600e+02   8.3413000e+01   1.9350000e+00
   2.1450300e+03   1.3258600e+02   3.9463500e+02   8.2327000e+01   1.9510000e+00
   2.1451824e+03   1.3425000e+02   3.9157600e+02   8.1070000e+01   1.9750000e+00
   2.1453347e+03   1.3375200e+02   3.8436000e+02   8.3558000e+01   2.0240000e+00
   2.1454873e+03   1.3164800e+02   3.7631300e+02   8.7683000e+01   2.0750000e+00
   2.1456396e+03   1.3001600e+02   3.7020500e+02   8.7829000e+01   2.1060000e+00
