%Depth:M	   Sw_deep:fract	Sw_x:fract
2082.3872	1.0000	1.0000
2082.5396	1.0000	1.0000
2082.6921	1.0000	1.0000
2082.8445	1.0000	1.0000
2082.9968	1.0000	1.0000
2083.1492	1.0000	1.0000
2083.3015	1.0000	1.0000
2083.4541	1.0000	1.0000
2083.6064	1.0000	1.0000
2083.7588	1.0000	1.0000
2083.9111	1.0000	0.9480
2084.0637	1.0000	1.0000
2084.2161	1.0000	1.0000
2084.3684	1.0000	1.0000
2084.5208	1.0000	1.0000
2084.6733	1.0000	0.9610
2084.8257	1.0000	0.9580
2084.9780	1.0000	1.0000
2085.1304	1.0000	1.0000
2085.2827	1.0000	1.0000
2085.4353	1.0000	1.0000
2085.5876	1.0000	1.0000
2085.7400	1.0000	1.0000
2085.8923	1.0000	1.0000
2086.0449	1.0000	1.0000
2086.1973	1.0000	1.0000
2086.3496	1.0000	1.0000
2086.5020	1.0000	1.0000
2086.6545	1.0000	1.0000
2086.8069	1.0000	1.0000
2086.9592	1.0000	1.0000
2087.1116	1.0000	1.0000
2087.2639	1.0000	1.0000
2087.4165	1.0000	1.0000
2087.5688	1.0000	1.0000
2087.7212	1.0000	1.0000
2087.8735	1.0000	1.0000
2088.0261	1.0000	1.0000
2088.1785	1.0000	1.0000
2088.3308	1.0000	1.0000
2088.4832	1.0000	1.0000
2088.6357	1.0000	1.0000
2088.7881	1.0000	1.0000
2088.9404	1.0000	1.0000
2089.0928	1.0000	1.0000
2089.2451	1.0000	1.0000
2089.3977	1.0000	1.0000
2089.5500	1.0000	0.9820
2089.7024	1.0000	0.9940
2089.8547	1.0000	1.0000
2090.0073	1.0000	1.0000
2090.1597	1.0000	1.0000
2090.3120	1.0000	1.0000
2090.4644	1.0000	1.0000
2090.6169	1.0000	1.0000
2090.7693	1.0000	1.0000
2090.9216	1.0000	1.0000
2091.0740	1.0000	1.0000
2091.2263	1.0000	1.0000
2091.3789	1.0000	1.0000
2091.5312	1.0000	1.0000
2091.6836	1.0000	1.0000
2091.8359	1.0000	1.0000
2091.9885	1.0000	1.0000
2092.1409	1.0000	1.0000
2092.2932	1.0000	1.0000
2092.4456	1.0000	1.0000
2092.5981	1.0000	1.0000
2092.7505	1.0000	1.0000
2092.9028	1.0000	1.0000
2093.0552	1.0000	1.0000
2093.2075	1.0000	1.0000
2093.3601	1.0000	1.0000
2093.5125	1.0000	1.0000
2093.6648	1.0000	1.0000
2093.8171	1.0000	1.0000
2093.9697	1.0000	1.0000
2094.1221	1.0000	1.0000
2094.2744	1.0000	1.0000
2094.4268	1.0000	1.0000
2094.5793	1.0000	1.0000
2094.7317	1.0000	1.0000
2094.8840	1.0000	1.0000
2095.0364	1.0000	1.0000
2095.1887	1.0000	1.0000
2095.3413	1.0000	0.9220
2095.4937	1.0000	0.9090
2095.6460	1.0000	0.9380
2095.7983	1.0000	0.9730
2095.9509	1.0000	0.9700
2096.1033	1.0000	0.9530
2096.2556	1.0000	0.9400
2096.4080	1.0000	0.9850
2096.5605	1.0000	1.0000
2096.7129	1.0000	0.9700
2096.8652	1.0000	0.9320
2097.0176	1.0000	1.0000
2097.1699	1.0000	1.0000
2097.3225	1.0000	1.0000
2097.4749	1.0000	1.0000
2097.6272	1.0000	1.0000
2097.7795	1.0000	0.9460
